Produto Interno Bruto Per Capita,,
"Observatório do Trabalho do Estado de Minas Gerais, Municípios.  Ano: 2021.  Valores em reais (R$).",,
Municípios,Ano(s),Produto interno bruto per capita
,,Total
Patrocínio ,2021,"39.932,30"
Paula Cândido ,2021,"14.255,97"
Paulistas ,2021,"14.048,81"
Pavão ,2021,"11.093,87"
Peçanha ,2021,"15.407,09"
Pedra Azul ,2021,"16.498,08"
Pedra Bonita ,2021,"13.480,12"
Pedra do Anta ,2021,"19.502,49"
Pedra do Indaiá ,2021,"29.206,43"
Pedra Dourada ,2021,"16.527,20"
Pedralva ,2021,"16.460,40"
Pedras de Maria da Cruz ,2021,"8.900,37"
Pedrinópolis ,2021,"55.906,67"
Pedro Leopoldo ,2021,"29.763,40"
Pedro Teixeira ,2021,"16.778,21"
Pequeri ,2021,"18.724,66"
Pequi ,2021,"19.184,76"
Perdigão ,2021,"18.941,95"
Perdizes ,2021,"98.918,71"
Perdões ,2021,"29.060,60"
Periquito ,2021,"16.574,40"
Pescador ,2021,"11.054,09"
Piau ,2021,"34.082,97"
Piedade de Caratinga ,2021,"15.939,53"
Piedade de Ponte Nova ,2021,"15.149,65"
Piedade do Rio Grande ,2021,"24.887,48"
Piedade dos Gerais ,2021,"17.842,82"
Pimenta ,2021,"32.326,06"
Pingo-d'Água ,2021,"10.483,10"
Pintópolis ,2021,"9.445,44"
Piracema ,2021,"47.478,80"
Pirajuba ,2021,"62.212,95"
Piranga ,2021,"11.347,31"
Piranguçu ,2021,"14.238,45"
Piranguinho ,2021,"15.671,86"
Pirapetinga ,2021,"59.224,34"
Pirapora ,2021,"50.580,69"
Piraúba ,2021,"18.697,86"
Pitangui ,2021,"26.073,15"
Piumhi ,2021,"36.452,59"
Planura ,2021,"46.149,30"
Poço Fundo ,2021,"23.897,47"
Poços de Caldas ,2021,"50.234,29"
Pocrane ,2021,"14.686,18"
Pompéu ,2021,"36.287,11"
Ponte Nova ,2021,"35.748,11"
Ponto Chique ,2021,"12.096,62"
Ponto dos Volantes ,2021,"10.016,81"
Porteirinha ,2021,"13.931,71"
Porto Firme ,2021,"11.411,12"
Poté ,2021,"10.122,67"
Pouso Alegre ,2021,"69.478,81"
Pouso Alto ,2021,"47.333,42"
Prados ,2021,"25.109,69"
Prata ,2021,"45.907,10"
Pratápolis ,2021,"26.805,27"
Pratinha ,2021,"42.299,41"
Presidente Bernardes ,2021,"12.740,53"
Presidente Juscelino ,2021,"13.744,52"
Presidente Kubitschek ,2021,"12.064,56"
Presidente Olegário ,2021,"37.169,17"
Prudente de Morais ,2021,"18.583,47"
Quartel Geral ,2021,"21.546,08"
Queluzito ,2021,"20.557,60"
Raposos ,2021,"11.738,63"
Raul Soares ,2021,"17.893,53"
Recreio ,2021,"11.720,36"
Reduto ,2021,"16.727,60"
Resende Costa ,2021,"17.924,97"
Resplendor ,2021,"15.972,45"
Ressaquinha ,2021,"77.296,87"
Riachinho ,2021,"19.338,76"
Riacho dos Machados ,2021,"56.250,50"
Ribeirão das Neves ,2021,"15.177,16"
Ribeirão Vermelho ,2021,"25.941,30"
Rio Acima ,2021,"44.894,60"
Rio Casca ,2021,"17.735,11"
Rio Doce ,2021,"19.723,72"
Rio do Prado ,2021,"10.293,72"
Rio Espera ,2021,"11.179,64"
Rio Manso ,2021,"19.200,76"
Rio Novo ,2021,"13.398,92"
Rio Paranaíba ,2021,"73.353,29"
Rio Pardo de Minas ,2021,"11.082,95"
Rio Piracicaba ,2021,"93.493,98"
Rio Pomba ,2021,"23.182,02"
Rio Preto ,2021,"12.594,60"
Rio Vermelho ,2021,"11.141,09"
Ritápolis ,2021,"19.986,09"
Rochedo de Minas ,2021,"49.137,34"
Rodeiro ,2021,"66.014,18"
Romaria ,2021,"77.429,93"
Rosário da Limeira ,2021,"14.573,75"
Rubelita ,2021,"14.277,94"
Rubim ,2021,"10.879,32"
Sabará ,2021,"30.474,48"
Sabinópolis ,2021,"21.787,62"
Sacramento ,2021,"78.738,77"
Salinas ,2021,"15.942,32"
Salto da Divisa ,2021,"18.829,72"
Santa Bárbara do Leste ,2021,"13.595,98"
Santa Bárbara do Monte Verde ,2021,"17.510,49"
Santa Bárbara do Tugúrio ,2021,"16.098,97"
Santa Bárbara ,2021,"51.093,18"
Santa Cruz de Minas ,2021,"11.867,33"
Santa Cruz de Salinas ,2021,"12.029,68"
Santa Cruz do Escalvado ,2021,"16.399,94"
Santa Efigênia de Minas ,2021,"11.717,67"
Santa Fé de Minas ,2021,"15.749,38"
Santa Helena de Minas ,2021,"9.046,39"
Santa Juliana ,2021,"59.355,88"
Santa Luzia ,2021,"23.863,19"
Santa Margarida ,2021,"21.598,40"
Santa Maria de Itabira ,2021,"24.757,78"
Santa Maria do Salto ,2021,"9.608,97"
Santa Maria do Suaçuí ,2021,"11.695,78"
Santana da Vargem ,2021,"34.469,93"
Santana de Cataguases ,2021,"12.773,83"
Santana de Pirapama ,2021,"15.479,54"
Santana do Deserto ,2021,"11.889,16"
Santana do Garambéu ,2021,"15.700,64"
Santana do Jacaré ,2021,"21.867,84"
